"uid"	"city_name"	"offense_code"	"offense_type"	"offense_group"	"offense_against"	"date_single"	"longitude"	"latitude"	"location_type"	"location_category"	"census_block"	"date_start"	"date_end"
"98"	1200235	"Austin"	"90Z"	"all other offenses"	"all other offenses"	"other"	2018-02-27 13:08:00	-97.680365	30.377328	"street"	"street"	"484530018232012"	NA	NA
"99"	1200353	"Austin"	"13B"	"simple assault"	"assault offenses"	"persons"	2018-02-27 22:39:00	-97.718377	30.234963	"residence"	"residence"	"484530023181005"	NA	NA
"100"	1200687	"Austin"	"290"	"destruction/damage/vandalism of property (except arson)"	"destruction/damage/vandalism of property (except arson)"	"property"	2018-03-01 10:39:00	-97.8097	30.475203	"residence"	"residence"	"484910203182000"	NA	NA
"101"	1200692	"Austin"	"35B"	"drug equipment violations"	"drug/narcotic offenses"	"society"	2018-03-01 11:30:00	-97.629667	30.294419	NA	NA	"484530022022007"	NA	NA
"102"	1200889	"Austin"	"23F"	"theft from motor vehicle (except theft of motor vehicle parts or accessories)"	"larceny/theft offenses"	"property"	2018-03-02 00:00:00	-97.850274	30.406092	"vehicle parking"	"open space"	"484530017141042"	NA	NA
"103"	1201281	"Austin"	"23F"	"theft from motor vehicle (except theft of motor vehicle parts or accessories)"	"larceny/theft offenses"	"property"	2018-03-03 15:45:00	-97.703194	30.336902	"vehicle parking"	"open space"	"484530018041002"	NA	NA
"104"	1201374	"Austin"	"35A"	"drug/narcotic violations"	"drug/narcotic offenses"	"society"	2018-03-03 23:57:00	-97.670807	30.277279	"street"	"street"	"484530021101028"	NA	NA
"105"	1201529	"Austin"	"13A"	"aggravated assault"	"assault offenses"	"persons"	2018-03-04 19:25:00	-97.689073	30.295637	"residence"	"residence"	"484530003061001"	NA	NA
"106"	1201653	"Austin"	"240"	"motor vehicle theft"	"motor vehicle theft"	"property"	2018-03-05 11:18:00	-97.73044	30.376648	"hotel"	"hotel"	"484530018491031"	NA	NA
"107"	1201667	"Austin"	"26U"	"other fraud"	"fraud offenses (except counterfeiting/forgery and bad checks)"	"property"	2018-03-05 12:00:00	-97.800858	30.463595	"residence"	"residence"	"484910204032002"	NA	NA
"108"	1201879	"Austin"	"22U"	"other burglary/breaking & entering"	"burglary/breaking & entering"	"property"	2018-03-06 11:46:00	-97.857586	30.199448	"residence"	"residence"	"484530017401011"	NA	NA
"109"	1201894	"Austin"	"13A"	"aggravated assault"	"assault offenses"	"persons"	2018-03-06 12:38:00	-97.690418	30.329987	"residence"	"residence"	"484530018122002"	NA	NA
"110"	1202094	"Austin"	"23F"	"theft from motor vehicle (except theft of motor vehicle parts or accessories)"	"larceny/theft offenses"	"property"	2018-03-07 12:00:00	-97.666784	30.4453	"other"	"other"	"484530018571058"	NA	NA
"111"	1202131	"Austin"	"90J"	"trespass of real property"	"trespass of real property"	"society"	2018-03-07 16:16:00	-97.746807	30.215501	"child care"	"education"	"484530024111004"	NA	NA
"112"	1202257	"Austin"	"23F"	"theft from motor vehicle (except theft of motor vehicle parts or accessories)"	"larceny/theft offenses"	"property"	2018-03-08 04:30:00	-97.857533	30.425894	"vehicle parking"	"open space"	"484530017651012"	NA	NA
"113"	1202443	"Austin"	"23F"	"theft from motor vehicle (except theft of motor vehicle parts or accessories)"	"larceny/theft offenses"	"property"	2018-03-09 00:01:00	-97.780591	30.243394	"vehicle parking"	"open space"	"484530020051000"	NA	NA
"114"	1202489	"Austin"	"22U"	"other burglary/breaking & entering"	"burglary/breaking & entering"	"property"	2018-03-09 10:00:00	-97.798541	30.165958	"residence"	"residence"	"484530024211020"	NA	NA
"115"	1202568	"Austin"	"90C"	"disorderly conduct"	"disorderly conduct"	"society"	2018-03-09 15:00:00	-97.734674	30.267553	"hotel"	"hotel"	"484530011001056"	NA	NA
"116"	1202646	"Austin"	"23C"	"shoplifting"	"larceny/theft offenses"	"property"	2018-03-09 20:15:00	-97.78952	30.165488	"supermarket"	"retail"	"484530024211024"	NA	NA
"117"	1202826	"Austin"	"240"	"motor vehicle theft"	"motor vehicle theft"	"property"	2018-03-10 16:00:00	-97.80885	30.243866	"vehicle parking"	"open space"	"484530019174009"	NA	NA
