"","incident_key","occur_date","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude"
"99",197953467,"2019-06-01T00:00:00.000","22:12:00","BRONX",41,0,"","false","18-24","M","BLACK","<18","M","BLACK",1015287,235984,40.8143510290001,-73.8878756249999
"100",197953467,"2019-06-01T00:00:00.000","22:12:00","BRONX",41,0,"","false","<18","M","BLACK","<18","M","BLACK",1015287,235984,40.8143510290001,-73.8878756249999
"101",197953466,"2019-06-01T00:00:00.000","21:25:00","BRONX",42,2,"MULTI DWELL - PUBLIC HOUS","false","","","","25-44","M","BLACK",1010706,243782,40.8357692210001,-73.9043944159999
"102",197953462,"2019-06-01T00:00:00.000","14:14:00","QUEENS",101,0,"","false","18-24","M","BLACK","45-64","F","WHITE",1052809,159159,40.603274007,-73.7531045329999
"103",197953462,"2019-06-01T00:00:00.000","14:14:00","QUEENS",101,0,"","false","18-24","M","BLACK","25-44","M","BLACK",1052809,159159,40.603274007,-73.7531045329999
"104",197953471,"2019-06-01T00:00:00.000","13:45:00","BROOKLYN",77,0,"","false","18-24","M","BLACK","18-24","M","BLACK",996216,184738,40.6737400100001,-73.956863621
"105",197953471,"2019-06-01T00:00:00.000","13:45:00","BROOKLYN",77,0,"","false","<18","M","BLACK","18-24","M","BLACK",996216,184738,40.6737400100001,-73.956863621
"106",197953464,"2019-06-01T00:00:00.000","04:47:00","BROOKLYN",73,0,"","true","18-24","M","BLACK","25-44","M","BLACK",1008382,187866,40.6823008580001,-73.912993613
"107",197953463,"2019-05-31T00:00:00.000","15:55:00","BROOKLYN",79,0,"","false","25-44","M","BLACK HISPANIC","25-44","M","BLACK",1001329,187143,40.680332805,-73.9384249989999
"108",197850804,"2019-05-30T00:00:00.000","05:35:00","BRONX",46,0,"","false","25-44","M","WHITE HISPANIC","25-44","M","BLACK HISPANIC",1008550,248223,40.8479646600001,-73.9121696999999
"109",197850586,"2019-05-30T00:00:00.000","04:33:00","BROOKLYN",67,0,"","false","","","","25-44","M","BLACK",1005192,176639,40.651493368,-73.9245300119999
"110",197801426,"2019-05-29T00:00:00.000","10:15:00","BROOKLYN",60,0,"","false","18-24","M","BLACK","18-24","M","BLACK",988806,153480,40.587950312,-73.9835980089999
"111",197700945,"2019-05-28T00:00:00.000","04:15:00","BROOKLYN",75,0,"","false","","","","25-44","M","BLACK",1017589,180904,40.663161856,-73.87983228
"112",197706724,"2019-05-28T00:00:00.000","03:10:00","BRONX",40,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK HISPANIC","25-44","M","BLACK HISPANIC",1006699,233128,40.8065381010001,-73.918910596
"113",197700947,"2019-05-28T00:00:00.000","02:42:00","MANHATTAN",32,0,"","false","","","","25-44","M","BLACK",1001900,238191,40.820445512,-73.936232347
"114",197700946,"2019-05-28T00:00:00.000","01:50:00","MANHATTAN",23,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","25-44","M","BLACK",1000102,229680,40.7970885840001,-73.9427485799999
"115",197700944,"2019-05-28T00:00:00.000","01:20:00","BROOKLYN",69,0,"","false","","","","18-24","M","BLACK",1014401,169812,40.6327281640001,-73.8913728699999
"116",197692916,"2019-05-27T00:00:00.000","23:32:00","BRONX",42,0,"","true","18-24","M","BLACK","18-24","M","BLACK",1013407,243571,40.8351815830001,-73.894634433
"117",197692916,"2019-05-27T00:00:00.000","23:32:00","BRONX",42,0,"","true","<18","M","BLACK","18-24","M","BLACK",1013407,243571,40.8351815830001,-73.894634433
"118",197706725,"2019-05-27T00:00:00.000","23:00:00","QUEENS",107,2,"MULTI DWELL - PUBLIC HOUS","false","","","","25-44","M","BLACK",1036732,207396,40.735783278,-73.8106258029999
"119",197691092,"2019-05-27T00:00:00.000","20:50:00","BROOKLYN",79,0,"","false","","","","18-24","M","BLACK",1000286,186745,40.6792423360001,-73.942186366
"120",197691092,"2019-05-27T00:00:00.000","20:50:00","BROOKLYN",79,0,"","false","","","","<18","M","BLACK",1000286,186745,40.6792423360001,-73.942186366
"121",197691091,"2019-05-27T00:00:00.000","18:53:00","BROOKLYN",75,0,"","false","","","","25-44","M","BLACK",1021254,181801,40.6656093610001,-73.866617022
"122",197691091,"2019-05-27T00:00:00.000","18:53:00","BROOKLYN",75,0,"","true","","","","25-44","M","BLACK",1021254,181801,40.6656093610001,-73.866617022
"123",197691090,"2019-05-27T00:00:00.000","18:00:00","BROOKLYN",67,0,"","false","18-24","M","BLACK","18-24","M","BLACK",998235,173191,40.642043072,-73.9496090069999
"124",197691090,"2019-05-27T00:00:00.000","18:00:00","BROOKLYN",67,0,"","false","<18","M","BLACK","18-24","M","BLACK",998235,173191,40.642043072,-73.9496090069999
"125",197665544,"2019-05-27T00:00:00.000","02:46:00","QUEENS",113,0,"","false","","","","25-44","M","BLACK",1052435,194734,40.7009221440001,-73.754091742
"126",197662445,"2019-05-26T00:00:00.000","21:22:00","BROOKLYN",71,0,"","false","25-44","M","BLACK","25-44","M","WHITE HISPANIC",1002498,181698,40.66538517,-73.9342250409999
"127",197662447,"2019-05-26T00:00:00.000","21:01:00","BROOKLYN",75,0,"","false","","","","25-44","M","WHITE",1019237,189214,40.6859645580001,-73.873848999
"128",197662446,"2019-05-26T00:00:00.000","20:08:00","BROOKLYN",75,0,"","false","","","","25-44","M","BLACK",1015379,182115,40.6664938260001,-73.88779254
"129",197662446,"2019-05-26T00:00:00.000","20:08:00","BROOKLYN",75,0,"","true","","","","25-44","M","BLACK",1015379,182115,40.6664938260001,-73.88779254
"130",197660700,"2019-05-26T00:00:00.000","18:44:00","BROOKLYN",67,0,"","false","<18","M","BLACK","<18","M","BLACK",1006437,176073,40.649936789,-73.920045107
"131",197660699,"2019-05-26T00:00:00.000","14:00:00","BROOKLYN",77,0,"","false","","","","25-44","M","BLACK",1004127,182891,40.668656183,-73.928349662
"132",197660693,"2019-05-26T00:00:00.000","05:21:00","MANHATTAN",23,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","25-44","F","BLACK",1000552,225907,40.786731898,-73.941132468
"133",197660693,"2019-05-26T00:00:00.000","05:21:00","MANHATTAN",23,2,"MULTI DWELL - PUBLIC HOUS","true","25-44","M","BLACK","25-44","F","BLACK",1000552,225907,40.786731898,-73.941132468
"134",197660693,"2019-05-26T00:00:00.000","05:21:00","MANHATTAN",23,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","25-44","M","BLACK",1000552,225907,40.786731898,-73.941132468
"135",197660693,"2019-05-26T00:00:00.000","05:21:00","MANHATTAN",23,2,"MULTI DWELL - PUBLIC HOUS","true","25-44","M","BLACK","25-44","M","BLACK",1000552,225907,40.786731898,-73.941132468
"136",197660695,"2019-05-25T00:00:00.000","23:58:00","BROOKLYN",75,0,"","false","","","","25-44","M","BLACK",1014557,181661,40.6652505490001,-73.890757594
"137",197660697,"2019-05-25T00:00:00.000","23:40:00","QUEENS",100,2,"MULTI DWELL - PUBLIC HOUS","false","","","","25-44","M","BLACK",1037554,154246,40.589893728,-73.8080798989999
"138",197660694,"2019-05-25T00:00:00.000","00:12:00","MANHATTAN",7,0,"","false","","","","25-44","M","BLACK",988664,200228,40.7162634600001,-73.98407868
"139",197654796,"2019-05-24T00:00:00.000","22:13:00","BRONX",44,0,"","false","","","","18-24","M","BLACK",1006954,242413,40.8320221540001,-73.917958068
"140",197654798,"2019-05-24T00:00:00.000","20:29:00","BROOKLYN",67,0,"","false","","","","<18","M","BLACK",1004363,176942,40.6523269580001,-73.927516683
"141",197655792,"2019-05-24T00:00:00.000","16:11:00","BROOKLYN",70,0,"","false","<18","M","UNKNOWN","18-24","M","BLACK",995678,176383,40.6508080900001,-73.958817288
"142",197654797,"2019-05-24T00:00:00.000","00:23:00","BRONX",49,0,"","false","","","","25-44","M","BLACK",1026773,256451,40.870479066,-73.8462510219999
"143",197573448,"2019-05-23T00:00:00.000","20:39:00","BROOKLYN",75,0,"","false","25-44","M","BLACK","25-44","M","BLACK",1018964,182071,40.666359726,-73.874870142
